1979;La Vie et demie
1979;Les Crapauds-brousse
1998;En attendant le vote des bêtes sauvages
1956;Le pauvre Christ de Bomba
1982;Le Pleurer-Rire
2014;Terre ceinte
2008;Mathématiques congolaises
1960;Les Bouts de bois de Dieu : Banty Mam Yall
1970;Les Soleils des indépendances 
2000;L’Aîné des orphelins
2024;La Dent de Lumumba : Régicide contre la colonie
1981;Le Temps de Tamango
1961;L’aventure ambiguë
2003;Le ventre de l'Atlantique 
2019;Les jours viennent et passent
1999;53 cm
1987;C'est le soleil qui m'a brûlée
1979;Une si longue lettre
1992;Le Mal de peau
1984;Le Baobab fou
1994;Cendres et braises
1999;Riwan ou le chemin de sable
2016;Petit Pays
2005;Reine Pokou. Concerto pour un sacrifice
2013;La Saison de l’ombre
2013;Ceux qui sortent dans la nuit
1948;Poèmes nègres sur des airs africains
2006;Kétala
2001;La Préférence Nationale 
2012;Le Terroriste noir
2019;Rouge impératrice
1954;Légendes africaines
1998;Bleu Blanc Rouge 
2006;Mémoires de Porc-épic 
2009;Black Bazar 
2018;De purs hommes
2008;Tels des astres éteints 
2022;Consolée 
2022;Les lieux qu'habitent mes rêves
1969;Rencontres essentielles
2018;Loin de Douala
2004;Naïma n'a pas le sida
2000;Murambi, le livre des ossements
1982;Jazz et vin de palme
1982;Une journée dans la vie d'Augustine Amaya
1987;Niiwam
1987;Taaw
1983;Cycle de sécheresse
1983;Tams-Tams et danses nocturnes
1983;Aïda ou la méprise
1983;La jeunesse féminine s’organise
1983;Quêtes
1983;Le Clan des fauves
1983;Le Cimetière des masques
1983;Braconniers, gardes-faune, touristes et compagnie
1983;Le récit des vent
1983;L’exil et le combat
2010;Ma vie a un prix
2015;Les coqs cubains chantent à minuit 
1991;Un rêve utile 
2008;Solo d'un revenant 
2018;Frère d'âme 
2001;La fabrique de cérémonies 
2020;Black Manoo 
2014;Debout-payé 
2007;Le coeur des enfants léopards 
2005;Des rires sur une larme 
2011;L'autre nom 
2009;Les pieds sales 
2011;Samba pour la France 
2008;Filles de Mexico 
2023;Un arc-en-ciel dans les ténèbres 
2011;À cause d'elle
2015;Pour le bonheur des miens 
1975;Les frasques d’Ébinto
2012;Sans parole ni poignée de main
1988;Sous le regard des étoiles…
1996;Le Paradis du Nord
2022;Le Duel des grands-mères
2020;L’Odyssée des oubliés
2022;Un prisonnier sans étoile
2022;Deux secondes d’air qui brûle
2018;La Belle de Casa
2022;Ajar - Paris
2023;Djinns
2019;Les Malheurs de Justin
2015;Le Soleil sans se brûler
2022;Bardot 18
2019;Oraisons pour un vivant
2022;Nafissa ou la dignité à l’épreuve
2022;Magnanime
2002;On a échoué
2020;Un cri dans la nuit
2010;Bandado. La fille aux paupières noires
2018;Gouttes de larmes
2000;La Foudre sous scellés
2021;Clandestinement vôtre 
2024;Le rêve du pêcheur 
1988;Kesso, Princesse peuhle
1960;Soundjata ou l'épopée mandingue
1960;Souffles
1945;Joal
2018;Le Feu des origines
2019;Boy Diola
2020;Les eaux noires
2022;Dis-moi pour qui j’existe ?
2016;Le Moabi Cinéma 
2023;Évocation d’un mémorial à Venise
2023;Les Sentiers de la Rédemption
2023;Le Baroud d’honneur
2022;Le bateau de Cuffe et Cinqué
2023;Rwanda 94 : l'ange et les furies
2022;Rendez-vous PK6
2020;Perdre le corps
2023;Tu as fait de moi celui qui enjambe le monde
2022;Les culs-reptiles
2015;Rendez-vous avec l’heure qui blesse
2022;Comme une reine
2022;Habiller le ciel
2019;Impossible de rester
2019;Perdus
2015;Madame la Présidente
2018;Je suis quelqu’un
2017;L’Appel de la lune
2015;Le dieu perdu dans l’herbe. L’animisme, une philosophie africaine
2020;Aline et les hommes de guerre
2023;Le Royaume de Nyoka
1979;La grève des Bàttu ou les déchets humains
1982;L’appel des arènes
2013;La Saison des prunes
2018;Empreintes de crabe
2010;L'or des rivières
1945;Femme noire
1946;"""Aux tirailleurs sénégalais morts pour la France"""
2018;Un si beau diplôme 
2006;Aux États-Unis d'Afrique 
2020;Les lumières d'Oujda
2016;Confidences
1967;Aux poètes
2008;La Retour de l’enfant soldat 
2023;Vous, les ancêtres
2008;Le roi de Kahel
2010;Celles qui attendent
1994;Assèze l’Africaine
1992;Le Petit Prince de Belleville
1976;Ici s’achève le voyage